Gene Symbol,Bladder Count,Lung Count,Brain Count
A1BG,0,0,0
A1BG-AS1,0,0,0
A1CF,0,0,0
A2M,0,0,0
A2M-AS1,0,0,0
A2ML1,0,0,0
A2ML1-AS1,0,0,0
A2ML1-AS2,0,0,0
A2MP1,0,0,0
A3GALT2,0,0,0
A4GALT,0,0,0
A4GNT,0,0,0
AAAS,2,0,0
AACS,0,0,0
AACSP1,0,0,0
AADAC,0,0,0
AADACL2,0,0,0
AADACL2-AS1,0,0,0
AADACL3,0,0,0
AADACL4,0,0,0
AADACP1,0,0,0
AADAT,0,0,0
AAED1,0,0,0
AAGAB,0,0,0
AAK1,0,0,0
AAMDC,0,0,0
AAMP,0,0,0
AANAT,0,0,0
AAR2,0,0,0
AARD,0,0,0
AARS,0,0,0
AARS2,0,0,0
AARSD1,0,0,0
AARSP1,0,0,0
AASDH,0,0,0
AASDHPPT,0,0,0
AASS,0,0,0
AATBC,0,0,0
AATF,0,0,0
AATK,0,0,0
AATK-AS1,0,0,0
AAVS1,0,0,0
ABALON,0,0,0
ABAT,0,0,0
ABCA1,0,6,7
ABCA2,0,1,0
ABCA3,0,0,0
ABCA4,0,0,0
ABCA5,0,1,0
ABCA6,0,0,0
ABCA7,0,0,0
ABCA8,0,0,0
ABCA9,0,0,0
ABCA9-AS1,0,0,0
ABCA10,0,0,0
ABCA11P,0,0,0
ABCA12,0,0,0
ABCA13,0,0,0
ABCA17P,0,0,0
ABCB1,0,2,9
ABCB4,0,0,0
ABCB5,0,0,0
ABCB6,0,0,0
ABCB7,0,0,0
ABCB8,0,0,0
ABCB9,0,0,0
ABCB10,0,0,0
ABCB10P1,0,0,0
ABCB10P3,0,0,0
ABCB10P4,0,0,0
ABCB11,0,0,0
ABCC1,0,6,1
ABCC2,0,0,1
ABCC3,0,0,0
ABCC4,2,5,0
ABCC5,0,0,0
ABCC5-AS1,0,0,0
ABCC6,0,0,0
ABCC6P1,0,0,0
ABCC6P2,0,0,0
ABCC8,0,0,0
ABCC9,0,0,0
ABCC10,0,0,0
ABCC11,0,0,0
ABCC12,0,0,0
ABCC13,0,0,0
ABCD1,2,0,0
ABCD1P1,0,0,0
ABCD1P2,0,0,0
ABCD1P3,0,0,0
ABCD1P4,0,0,0
ABCD1P5,0,0,0
ABCD2,0,0,0
ABCD3,0,0,0
ABCD4,0,0,0
ABCE1,0,0,0
ABCF1,8,0,0
ABCF2,0,0,0
ABCF2P1,0,0,0
ABCF2P2,0,0,0
ABCF3,0,0,0
ABCG1,0,0,1
ABCG2,10,6,17
ABCG4,0,0,0
ABCG5,0,0,0
ABCG8,0,0,0
ABHD1,0,0,0
ABHD2,0,0,0
ABHD3,0,0,0
ABHD4,0,0,0
ABHD5,0,0,0
ABHD6,0,0,0
ABHD8,0,0,0
ABHD10,0,0,0
ABHD11,0,0,0
ABHD11-AS1,0,0,0
ABHD12,0,0,0
ABHD12B,0,0,0
ABHD13,0,0,0
ABHD14A,0,0,0
ABHD14A-ACY1,0,0,0
ABHD14B,0,0,0
ABHD15,0,0,0
ABHD15-AS1,0,0,0
ABHD16A,0,0,0
ABHD16B,0,0,0
ABHD17A,0,0,0
ABHD17AP1,0,0,0
ABHD17AP3,0,0,0
ABHD17AP4,0,0,0
ABHD17AP5,0,0,0
ABHD17AP6,0,0,0
ABHD17AP7,0,0,0
ABHD17AP8,0,0,0
ABHD17AP9,0,0,0
ABHD17B,0,0,0
ABHD17C,0,0,0
ABHD18,0,0,0
ABI1,0,0,0
ABI1P1,0,0,0
ABI2,0,0,0
ABI3,0,0,0
ABI3BP,0,0,0
ABL1,4,2,0
ABL2,0,1,0
ABLIM1,0,0,0
ABLIM2,0,0,0
ABLIM3,0,0,0
ABO,24,0,4
ABR,0,0,0
ABRA,0,0,0
ABRACL,0,0,0
ABT1,0,0,0
ABT1P1,0,0,0
ABTB1,0,0,0
ABTB2,0,0,0
ACAA1,0,0,0
ACAA2,0,0,0
ACACA,0,0,0
ACACB,0,0,0
ACAD8,0,0,0
ACAD9,0,0,0
ACAD10,0,0,0
ACAD11,0,0,0
ACADL,0,0,0
ACADM,0,0,0
ACADS,0,0,0
ACADSB,0,0,0
ACADVL,0,0,0
ACAN,0,0,0
ACAP1,0,0,0
ACAP2,0,0,0
ACAP2-IT1,0,0,0
ACAP3,0,0,0
ACAT1,0,0,0
ACAT2,0,0,0
ACBD3,0,0,1
ACBD4,0,0,0
ACBD5,0,0,0
ACBD6,0,0,0
ACBD7,0,0,0
ACCS,0,0,0
ACCSL,0,0,0
ACD,8,0,0
ACE,22,0,0
ACE2,0,0,0
ACE3P,0,0,0
ACER1,0,0,0
ACER2,0,0,0
ACER3,0,0,0
ACHE,2,2,0
ACIN1,0,0,0
ACKR1,0,0,0
ACKR2,0,0,0
ACKR3,0,0,0
ACKR4,0,0,0
ACLS,0,0,0
ACLY,0,0,0
ACMSD,0,0,0
ACO1,0,0,0
ACO2,0,0,0
ACOT1,0,0,0
ACOT2,0,0,0
ACOT4,0,6,6
ACOT6,0,0,0
ACOT7,0,0,0
ACOT8,0,0,0
ACOT9,0,0,0
ACOT11,0,0,0
ACOT12,0,0,0
ACOT13,0,0,0
ACOX1,0,0,0
ACOX2,0,0,0
ACOX3,0,0,0
ACOXL,0,0,0
ACP1,0,0,0
ACP2,0,0,0
ACP5,0,0,0
ACP6,0,0,0
ACPP,2,0,6
ACPT,0,0,0
ACR,8,2,5
ACRBP,0,0,0
ACRC,0,0,0
ACRV1,0,0,0
ACSBG1,0,0,0
ACSBG2,0,0,0
ACSF2,0,0,0
ACSF3,0,0,0
ACSL1,2,0,0
ACSL3,0,0,0
ACSL4,0,0,0
ACSL5,2,0,0
ACSL6,0,0,0
ACSM1,0,0,0
ACSM2A,0,0,0
ACSM2B,0,0,0
ACSM3,0,0,0
ACSM4,0,0,0
ACSM5,0,0,0
ACSM5P1,0,0,0
ACSM6,0,0,0
ACSS1,0,0,0
ACSS2,0,0,1
ACSS3,0,0,0
ACTA1,0,0,0
ACTA2,0,0,0
ACTA2-AS1,0,0,0
ACTB,0,1,0
ACTBL2,0,0,0
ACTBP1,0,0,0
ACTBP2,0,0,0
ACTBP3,0,0,0
ACTBP4,0,0,0
ACTBP6,0,0,0
ACTBP7,0,0,0
ACTBP8,0,0,0
ACTBP9,0,0,0
ACTBP10,0,0,0
ACTBP11,0,0,0
ACTBP12,0,0,0
ACTBP13,0,0,0
ACTBP14,0,0,0
ACTC1,0,0,0
ACTG1,0,0,0
ACTG1P1,0,0,0
ACTG1P2,0,0,0
ACTG1P3,0,0,0
ACTG1P4,0,0,0
ACTG1P6,0,0,0
ACTG1P7,0,0,0
ACTG1P8,0,0,0
ACTG1P9,0,0,0
ACTG1P10,0,0,0
ACTG1P11,0,0,0
ACTG1P12,0,0,0
ACTG1P13,0,0,0
ACTG1P14,0,0,0
ACTG1P15,0,0,0
ACTG1P16,0,0,0
ACTG1P17,0,0,0
ACTG1P18,0,0,0
ACTG1P19,0,0,0
ACTG1P20,0,0,0
ACTG1P21,0,0,0
ACTG1P22,0,0,0
ACTG1P23,0,0,0
ACTG1P24,0,0,0
ACTG2,0,0,0
ACTL6A,0,0,0
ACTL6B,2,0,0
ACTL7A,0,0,0
ACTL7B,0,0,0
ACTL8,0,0,0
ACTL9,0,0,0
ACTL10,0,0,0
ACTN1,0,0,0
ACTN1-AS1,0,0,0
ACTN2,0,0,0
ACTN3,0,0,0
ACTN4,2,5,0
ACTN4P1,0,0,0
ACTN4P2,0,0,0
ACTP1,0,0,0
ACTR1A,0,0,0
ACTR1B,0,0,0
ACTR2,0,0,0
ACTR3,0,0,0
ACTR3B,0,0,0
ACTR3BP1,0,0,0
ACTR3BP2,0,0,0
ACTR3BP3,0,0,0
ACTR3BP4,0,0,0
ACTR3BP5,0,0,0
ACTR3BP6,0,0,0
ACTR3C,0,0,0
ACTR3P1,0,0,0
ACTR3P2,0,0,0
ACTR3P3,0,0,0
ACTR5,0,0,0
ACTR6,0,0,0
ACTR6P1,0,0,0
ACTR8,0,0,0
ACTR10,0,0,0
ACTRT1,0,0,0
ACTRT2,0,0,0
ACTRT3,0,0,0
ACVR1,0,0,1
ACVR1B,0,0,0
ACVR1C,0,0,0
ACVR2A,0,1,1
ACVR2B,0,0,0
ACVR2B-AS1,0,0,0
ACVRL1,0,0,0
ACY1,0,0,0
ACY3,0,0,0
ACYP1,0,0,0
ACYP2,0,0,1
AD5,10,0,0
ADA,8,0,0
ADAD1,0,0,0
ADAD1P1,0,0,0
ADAD1P2,0,0,0
ADAD2,0,0,0
ADAL,0,0,0
ADAM1A,0,0,0
ADAM1B,0,0,0
ADAM2,0,0,0
ADAM3A,0,0,0
ADAM3B,0,0,0
ADAM5,0,0,0
ADAM6,0,0,0
ADAM7,0,0,0
ADAM8,0,0,0
ADAM9,8,0,2
ADAM10,2,0,1
ADAM11,0,0,0
ADAM12,2,0,0
ADAM15,0,0,0
ADAM17,0,0,0
ADAM18,0,0,0
ADAM19,0,0,0
ADAM20,0,0,0
ADAM20P1,0,0,0
ADAM20P2,0,0,0
ADAM20P3,0,0,0
ADAM21,0,0,0
ADAM21P1,0,0,0
ADAM22,0,0,0
ADAM23,0,0,0
ADAM24P,0,0,0
ADAM28,0,0,0
ADAM29,0,0,0
ADAM30,0,0,0
ADAM32,0,0,0
ADAM33,0,0,0
ADAMDEC1,0,0,0
ADAMTS1,0,0,0
ADAMTS2,0,0,0
ADAMTS3,0,0,0
ADAMTS4,0,0,0
ADAMTS5,0,0,0
ADAMTS6,0,0,0
ADAMTS7,0,0,0
ADAMTS7P1,0,0,0
ADAMTS7P3,0,0,0
ADAMTS7P4,0,0,0
ADAMTS8,0,0,0
ADAMTS9,0,0,0
ADAMTS9-AS1,0,0,0
ADAMTS9-AS2,0,0,0
ADAMTS10,0,0,0
ADAMTS12,0,0,0
ADAMTS13,0,0,0
ADAMTS14,0,0,0
ADAMTS15,0,1,0
ADAMTS16,0,0,0
ADAMTS17,0,0,0
ADAMTS18,0,0,0
ADAMTS19,0,0,0
ADAMTS19-AS1,0,0,0
ADAMTS20,0,0,0
ADAMTSL1,0,0,0
ADAMTSL2,0,0,0
ADAMTSL3,0,0,0
ADAMTSL4,0,0,0
ADAMTSL4-AS1,0,0,0
ADAMTSL5,0,0,0
ADAP1,0,0,0
ADAP2,0,0,0
ADAR,0,0,0
ADARB1,0,0,0
ADARB2,0,0,0
ADARB2-AS1,0,0,0
ADAT1,0,0,0
ADAT2,0,0,0
ADAT3,0,0,0
ADCK1,0,0,0
ADCK2,0,0,0
ADCK3,0,0,0
ADCK4,0,0,0
ADCK5,0,0,0
ADCP1,0,0,0
ADCY1,0,0,0
ADCY2,0,0,0
ADCY3,0,0,0
ADCY4,0,0,0
ADCY5,0,0,0
ADCY6,0,0,0
ADCY7,0,0,0
ADCY8,0,0,0
ADCY9,0,0,0
ADCY10,0,0,0
ADCY10P1,0,0,0
ADCYAP1,0,0,0
ADCYAP1R1,0,0,0
ADD1,0,0,0
ADD2,0,0,0
ADD3,0,0,0
ADD3-AS1,0,0,0
ADFN,0,0,0
ADGB,0,0,0
ADGRA1,0,0,0
ADGRA1-AS1,0,0,0
ADGRA2,0,0,0
ADGRA3,0,0,0
ADGRB1,0,0,0
ADGRB2,0,0,0
ADGRB3,0,0,0
ADGRD1,0,0,0
ADGRD2,0,0,0
ADGRE1,0,0,0
ADGRE2,0,0,0
ADGRE3,0,0,0
ADGRE4P,0,0,0
ADGRE5,0,0,0
ADGRF1,0,0,0
ADGRF2,0,0,0
ADGRF3,0,0,0
ADGRF4,0,0,0
ADGRF5,0,0,0
ADGRF5P1,0,0,0
ADGRF5P2,0,0,0
ADGRG1,0,0,0
ADGRG2,0,0,0
ADGRG3,0,0,0
ADGRG4,0,0,0
ADGRG5,0,0,0
ADGRG6,0,0,0
ADGRG7,0,0,0
ADGRL1,0,0,0
ADGRL2,0,0,0
ADGRL3,0,0,0
ADGRL3-AS1,0,0,0
ADGRL4,0,0,0
ADGRV1,0,0,0
ADH1A,0,0,0
ADH1B,0,0,0
ADH1C,0,0,0
ADH4,0,0,0
ADH5,0,0,0
ADH5P2,0,0,0
ADH5P3,0,0,0
ADH5P4,0,0,0
ADH6,0,0,0
ADH7,0,0,0
ADHFE1,0,0,0
ADI1,0,0,0
ADIG,0,0,0
ADIPOQ,0,1,0
ADIPOQ-AS1,0,0,0
ADIPOR1,0,0,0
ADIPOR1P1,0,0,0
ADIPOR1P2,0,0,0
ADIPOR2,0,0,0
ADIRF,0,0,0
ADIRF-AS1,0,0,0
ADK,0,0,0
ADM,28,0,0
ADM2,0,0,0
ADM5,0,0,0
ADNP,0,0,0
ADNP-AS1,0,0,0
ADNP2,0,0,0
ADO,4,0,0
ADORA1,0,0,0
ADORA2A,2,0,0
ADORA2A-AS1,0,0,0
ADORA2B,0,0,0
ADORA2BP1,0,0,0
ADORA3,0,0,0
ADPGK,0,0,0
ADPGK-AS1,0,0,0
ADPRH,0,0,0
ADPRHL1,0,0,0
ADPRHL2,0,0,0
ADPRM,0,0,0
ADRA1A,0,0,0
ADRA1B,0,0,0
ADRA1D,0,0,0
ADRA2A,0,0,0
ADRA2B,0,0,0
ADRA2C,0,0,0
ADRB1,0,0,0
ADRB2,0,0,0
ADRB3,8,0,0
ADRBK1,0,0,0
ADRBK2,0,0,0
ADRM1,0,0,0
ADSL,0,0,0
ADSS,0,0,0
ADSSL1,0,0,0
ADTRP,0,0,0
AEBP1,0,0,0
AEBP2,0,0,0
AEN,0,0,0
AES,64,25,20
AF8T,0,0,0
AFA,0,0,0
AFAP1,0,0,0
AFAP1-AS1,0,0,0
AFAP1L1,0,0,0
AFAP1L2,0,0,0
AFD1,0,0,0
AFF1,0,0,0
AFF2,0,0,1
AFF2-IT1,0,0,0
AFF3,0,0,0
AFF4,0,0,0
AFG3L1P,0,0,0
AFG3L2,0,0,0
AFG3L2P1,0,0,0
AFM,10,0,2
AFMID,0,0,0
AFP,12,10,0
AFTPH,0,0,0
AGA,12,0,0
AGAP1,0,0,0
AGAP1-IT1,0,0,0
AGAP2,0,0,0
AGAP2-AS1,0,0,0
AGAP3,0,0,0
AGAP4,0,0,0
AGAP5,0,0,0
AGAP6,0,0,0
AGAP7P,0,0,0
AGAP9,0,0,0
AGAP10P,0,0,0
AGAP11,0,0,0
AGBL1,0,0,0
AGBL1-AS1,0,0,0
AGBL2,0,0,0
AGBL3,0,0,0
AGBL4,0,0,0
AGBL4-IT1,0,0,0
AGBL5,0,0,0
AGBL5-AS1,0,0,0
AGBL5-IT1,0,0,0
AGER,0,0,0
AGFG1,0,0,0
AGFG2,0,0,0
AGGF1,2,0,0
AGGF1P1,0,0,0
AGGF1P2,0,0,0
AGGF1P3,0,0,0
AGGF1P4,0,0,0
AGGF1P5,0,0,0
AGGF1P6,0,0,0
AGGF1P7,0,0,0
AGGF1P8,0,0,0
AGGF1P9,0,0,0
AGGF1P10,0,0,0
AGK,0,0,0
AGKP1,0,0,0
AGL,8,0,0
AGMAT,0,0,0
AGMO,0,0,0
AGMX2,0,0,0
AGO1,0,0,0
AGO2,12,0,1
AGO3,0,0,0
AGO4,0,0,0
AGPAT1,0,0,0
AGPAT2,0,0,0
AGPAT3,0,0,0
AGPAT4,0,0,0
AGPAT4-IT1,0,0,0
AGPAT5,0,0,0
AGPAT5P1,0,0,0
AGPS,0,0,0
AGR2,0,1,0
AGR3,0,0,0
AGRN,0,0,0
AGRP,0,0,0
AGT,2,0,0
AGTPBP1,0,0,0
AGTR1,0,0,0
AGTR2,0,0,0
AGTRAP,0,0,0
AGXT,0,0,0
AGXT2,0,0,0
AHCTF1,0,0,0
AHCTF1P1,0,0,0
AHCY,0,0,0
AHCYL1,0,0,0
AHCYL2,0,0,0
AHCYP1,0,0,0
AHCYP2,0,0,0
AHCYP3,0,0,0
AHCYP4,0,0,0
AHCYP5,0,0,0
AHCYP6,0,0,0
AHCYP7,0,0,0
AHCYP8,0,0,0
AHDC1,0,0,0
AHI1,0,0,0
AHNAK,0,0,2
AHNAK2,0,0,0
AHR,10,5,8
AHRR,0,0,0
AHSA1,0,0,0
AHSA2,0,0,0
AHSG,0,0,0
AHSP,0,0,0
AIC,16,0,0
AICDA,0,0,0
AIDA,0,0,0
AIF1,0,0,0
AIF1L,0,0,0
AIFM1,0,0,0
AIFM1P1,0,0,0
AIFM2,0,0,0
AIFM3,0,0,0
AIG1,0,0,0
AIG1P1,0,0,0
AIH3,0,0,0
AIM1,2,0,0
AIM1L,0,0,0
AIM2,0,0,0
AIMP1,0,0,0
AIMP1P1,0,0,0
AIMP1P2,0,0,0
AIMP2,0,0,0
AIP,8,0,15
AIPL1,0,0,0
AIRE,0,0,0
AIRN,0,0,0
AIS1,0,0,0
AIS2,0,0,0
AIS3,0,0,0
AJAP1,0,0,0
AJUBA,0,0,0
AK1,0,0,0
AK2,0,0,0
AK2P1,0,0,0
AK2P2,0,0,0
AK3,0,0,0
AK3P2,0,0,0
AK3P3,0,0,0
AK3P4,0,0,0
AK3P5,0,0,0
AK3P6,0,0,0
AK4,0,0,0
AK4P1,0,0,0
AK4P2,0,0,0
AK4P3,0,0,0
AK4P4,0,0,0
AK4P5,0,0,0
AK4P6,0,0,0
AK5,0,0,0
AK6,0,0,0
AK6P1,0,0,0
AK6P2,0,0,0
AK7,0,0,0
AK8,0,0,0
AK9,0,0,0
AKAP1,0,0,0
AKAP2,0,0,0
AKAP3,0,0,0
AKAP4,0,0,0
AKAP5,0,0,0
AKAP6,0,0,0
AKAP7,0,0,0
AKAP8,0,0,0
AKAP8L,0,0,0
AKAP8P1,0,0,0
AKAP9,0,0,0
AKAP10,0,0,0
AKAP11,0,0,0
AKAP12,0,0,1
AKAP13,0,0,0
AKAP14,0,0,0
AKAP17A,0,0,0
AKAP17BP,0,0,0
AKIP1,0,0,0
AKIRIN1,0,0,0
AKIRIN1P1,0,0,0
AKIRIN1P2,0,0,0
AKIRIN2,0,0,0
AKIRIN2P1,0,0,0
AKNA,0,0,0
AKNAD1,0,0,0
AKR1A1,0,0,0
AKR1B1,0,0,0
AKR1B1P1,0,0,0
AKR1B1P2,0,0,0
AKR1B1P3,0,0,0
AKR1B1P4,0,0,0
AKR1B1P5,0,0,0
AKR1B1P6,0,0,0
AKR1B1P7,0,0,0
AKR1B1P8,0,0,0
AKR1B10,8,2,0
AKR1B10P1,0,0,0
AKR1B10P2,0,0,0
AKR1B15,0,0,0
AKR1C1,0,1,0
AKR1C2,0,1,0
AKR1C3,0,0,0
AKR1C4,0,0,0
AKR1C5P,0,0,0
AKR1C6P,0,0,0
AKR1C7P,0,0,0
AKR1C8P,0,0,0
AKR1D1,0,0,0
AKR1D1P1,0,0,0
AKR1E2,0,0,0
AKR7A2,0,0,0
AKR7A2P1,0,0,0
AKR7A3,0,0,0
AKR7L,0,0,0
AKT1,6,21,4
AKT1S1,0,0,0
AKT2,4,1,6
AKT3,2,1,3
AKT3-IT1,0,0,0
AKTIP,0,0,0
ALAD,0,0,0
ALAS1,0,0,0
ALAS2,0,0,0
ALB,8,0,0
ALCAM,2,0,0
ALDH1A1,8,1,0
ALDH1A2,0,0,0
ALDH1A3,2,0,0
ALDH1B1,0,0,0
ALDH1L1,0,0,0
ALDH1L1-AS1,0,0,0
ALDH1L1-AS2,0,0,0
ALDH1L2,0,0,0
ALDH2,16,1,0
ALDH3A1,0,0,0
ALDH3A2,0,0,1
ALDH3B1,0,0,0
ALDH3B2,0,0,0
ALDH4A1,0,0,0
ALDH5A1,0,0,0
ALDH6A1,0,0,0
ALDH7A1,0,0,0
ALDH7A1P1,0,0,0
ALDH7A1P2,0,0,0
ALDH7A1P3,0,0,0
ALDH7A1P4,0,0,0
ALDH8A1,0,0,0
ALDH9A1,0,0,0
ALDH16A1,0,0,0
ALDH18A1,0,0,0
ALDOA,0,0,0
ALDOAP1,0,0,0
ALDOAP2,0,0,0
ALDOB,0,0,0
ALDOC,0,0,0
ALG1,0,0,0
ALG1L,0,0,0
ALG1L2,0,0,0
ALG1L3P,0,0,0
ALG1L5P,0,0,0
ALG1L6P,0,0,0
ALG1L7P,0,0,0
ALG1L8P,0,0,0
ALG1L9P,0,0,0
ALG1L10P,0,0,0
ALG1L11P,0,0,0
ALG1L12P,0,0,0
ALG1L13P,0,0,0
ALG1L14P,0,0,0
ALG1L15P,0,0,0
ALG2,0,0,0
ALG3,0,0,0
ALG3P1,0,0,0
ALG5,0,0,0
ALG6,0,0,0
ALG8,0,0,0
ALG9,0,0,0
ALG9-IT1,0,0,0
ALG10,0,0,0
ALG10B,0,0,0
ALG11,0,0,0
ALG12,0,0,0
ALG13,0,0,0
ALG13-AS1,0,0,0
ALG14,0,0,0
ALK,26,148,24
ALKBH1,0,0,0
ALKBH2,2,0,0
ALKBH3,0,0,0
ALKBH3-AS1,0,0,0
ALKBH4,0,0,0
ALKBH5,0,0,0
ALKBH6,0,0,0
ALKBH7,0,0,0
ALKBH8,0,0,0
ALLC,0,0,0
ALMS1,0,0,0
ALMS1-IT1,0,0,0
ALMS1P,0,0,0
ALOX5,0,0,0
ALOX5AP,0,0,0
ALOX12,0,0,0
ALOX12-AS1,0,0,0
ALOX12B,0,0,0
ALOX12P1,0,0,0
ALOX12P2,0,0,0
ALOX15,0,0,3
ALOX15B,0,0,0
ALOX15P1,0,0,0
ALOX15P2,0,0,0
ALOXE3,0,0,0
ALOXE3P1,0,0,0
ALPI,0,0,0
ALPK1,0,0,0
ALPK2,0,0,0
ALPK3,0,0,0
ALPL,0,0,0
ALPP,8,0,0
ALPPL2,0,0,0
ALPPP,0,0,0
ALS2,0,0,0
ALS2CL,0,0,0
ALS2CR11,0,0,0
ALS2CR12,0,0,0
ALS3,0,0,0
ALS5,0,0,0
ALS7,0,0,0
ALX1,0,0,0
ALX3,0,0,0
ALX4,0,0,0
ALYREF,0,0,0
AMACR,8,0,0
AMBN,0,0,0
AMBP,8,0,0
AMBRA1,0,0,0
AMCN,0,0,0
AMD1,0,0,0
AMD1P1,0,0,0
AMD1P2,0,0,0
AMD1P3,0,0,0
AMD1P4,0,0,0
AMDHD1,0,0,0
AMDHD2,0,0,0
AMELX,0,0,0
AMELY,0,0,0
AMER1,0,0,0
AMER2,0,0,0
AMER3,0,0,0
AMFR,0,0,0
AMH,8,0,0
AMHR2,0,0,0
AMICA1,0,0,0
AMIGO1,0,0,0
AMIGO2,0,0,0
AMIGO3,0,0,0
AMLCR2,0,0,0
AMMECR1,0,0,0
AMMECR1-IT1,0,0,0
AMMECR1L,0,0,0
AMMECR1LP1,0,0,0
AMN,0,0,0
AMN1,0,0,0
AMOT,0,1,0
AMOTL1,0,0,0
AMOTL2,0,0,1
AMPD1,0,0,0
AMPD2,0,0,0
AMPD3,0,0,0
AMPH,0,0,0
AMT,0,0,0
AMTN,0,0,0
AMY1A,0,0,0
AMY1B,0,0,0
AMY1C,0,0,0
AMY2A,0,0,0
AMY2B,0,0,0
AMYP1,0,0,0
AMZ1,0,0,0
AMZ2,0,0,0
AMZ2P1,0,0,0
AMZ2P2,0,0,0
ANAPC1,0,0,0
ANAPC1P1,0,0,0
ANAPC2,0,0,0
ANAPC4,0,0,0
ANAPC5,0,0,0
ANAPC7,0,0,0
ANAPC10,0,0,0
ANAPC10P1,0,0,0
ANAPC11,0,0,0
ANAPC13,0,0,0
ANAPC15,0,0,0
ANAPC16,0,0,0
ANCR,0,0,0
ANG,32,1,0
ANGEL1,0,0,0
ANGEL2,0,0,0
ANGPT1,0,0,0
ANGPT2,0,1,0
ANGPT4,0,0,0
ANGPTL1,0,0,0
ANGPTL2,0,1,0
ANGPTL3,0,0,0
ANGPTL4,0,0,0
ANGPTL5,0,1,0
ANGPTL6,0,0,0
ANGPTL7,0,2,0
ANGPTL8,0,0,0
ANHX,0,0,0
ANIB1,0,0,0
ANIB2,0,0,0
ANIB3,0,0,0
ANIB4,0,0,0
ANK1,0,0,0
ANK2,0,1,0
ANK3,0,0,0
ANKAR,0,0,0
ANKDD1A,0,0,0
ANKDD1B,0,0,0
ANKEF1,0,0,0
ANKFN1,0,0,0
ANKFY1,0,0,0
ANKH,0,0,0
ANKHD1,0,0,0
ANKHD1-EIF4EBP3,0,0,0
ANKIB1,0,0,0
ANKK1,0,0,0
ANKLE1,0,0,0
ANKLE2,0,0,0
ANKMY1,0,0,0
ANKMY2,0,0,0
ANKRA2,0,0,0
ANKRD1,0,0,0
ANKRD2,0,0,0
ANKRD6,0,0,0
ANKRD7,0,0,0
ANKRD9,0,0,0
ANKRD10,0,0,0
ANKRD10-IT1,0,0,0
ANKRD11,0,0,0
ANKRD12,0,0,0
ANKRD13A,0,0,0
ANKRD13B,0,0,0
ANKRD13C,0,0,0
ANKRD13D,0,0,0
ANKRD16,0,0,0
ANKRD17,0,0,0
ANKRD18A,0,0,0
ANKRD18B,0,1,0
ANKRD18CP,0,0,0
ANKRD18DP,0,0,0
ANKRD18EP,0,0,0
ANKRD19P,0,0,0
ANKRD20A1,0,0,0
ANKRD20A2,0,0,0
ANKRD20A3,0,0,0
ANKRD20A4,0,0,0
ANKRD20A5P,0,0,0
ANKRD20A6P,0,0,0
ANKRD20A7P,0,0,0
ANKRD20A8P,0,0,0
ANKRD20A9P,0,0,0
ANKRD20A10P,0,0,0
ANKRD20A11P,0,0,0
ANKRD20A12P,0,0,0
ANKRD20A13P,0,0,0
ANKRD20A14P,0,0,0
ANKRD20A15P,0,0,0
ANKRD20A16P,0,0,0
ANKRD20A17P,0,0,0
ANKRD20A18P,0,0,0
ANKRD20A19P,0,0,0
ANKRD20A20P,0,0,0
ANKRD22,0,0,0
